gkz	name	wahlberechtigte	abgegeben	gueltig	spoe	oevp	fpoe	bzoe	gruene	frank	neos	kpoe	pirat	cpoe	wandl	m	euaus	slp	winner
G10101	Eisenstadt	10407	7378	7229	1699	2421	1084	155	888	419	434	47	54	28	0	0	0	0	oevp
G10201	Rust	1554	1167	1146	454	254	237	17	69	73	34	3	3	2	0	0	0	0	spoe
G10301	Breitenbrunn am Neusiedler See	1586	1187	1164	455	254	171	35	113	64	50	9	9	4	0	0	0	0	spoe
G10302	Donnerskirchen	1458	1108	1089	332	384	172	23	75	63	30	3	5	2	0	0	0	0	oevp
G10303	Großhöflein	1655	1229	1202	379	347	192	42	95	94	46	4	3	0	0	0	0	0	spoe
G10304	Hornstein	2217	1576	1538	616	291	278	47	123	104	60	9	8	2	0	0	0	0	spoe
G10305	Klingenbach	909	704	695	354	164	92	11	20	38	9	4	1	2	0	0	0	0	spoe
G10306	Leithaprodersdorf	974	808	785	180	368	106	9	53	36	25	6	0	2	0	0	0	0	oevp
G10307	Mörbisch am See	1869	1432	1406	550	302	302	22	79	87	41	9	8	6	0	0	0	0	spoe
G10308	Müllendorf	1089	851	824	323	171	143	25	70	46	29	5	5	7	0	0	0	0	spoe
G10309	Neufeld an der Leitha	2449	1813	1771	757	205	398	60	142	121	61	12	15	0	0	0	0	0	spoe
G10310	Oggau am Neusiedler See	1515	1280	1238	501	369	208	15	51	53	30	5	2	4	0	0	0	0	spoe
G10311	Oslip	1039	862	846	365	257	83	6	62	41	20	8	1	3	0	0	0	0	spoe
G10312	Purbach am Neusiedler See	2302	1759	1726	537	516	326	39	136	94	62	6	9	1	0	0	0	0	spoe
G10313	Sankt Margarethen im Burgenland	2307	1790	1748	523	597	317	42	119	90	43	7	10	0	0	0	0	0	oevp
G10314	Schützen am Gebirge	1129	903	881	256	313	148	17	56	60	20	6	3	2	0	0	0	0	oevp
G10315	Siegendorf	2236	1735	1692	910	203	248	26	124	116	46	4	12	3	0	0	0	0	spoe
G10316	Steinbrunn	1931	1483	1456	644	252	243	31	99	98	67	11	11	0	0	0	0	0	spoe
G10317	Trausdorf an der Wulka	1576	1244	1221	520	268	179	31	95	69	38	9	8	4	0	0	0	0	spoe
G10318	Wimpassing an der Leitha	1070	815	806	225	188	229	18	54	63	24	2	3	0	0	0	0	0	fpoe
G10319	Wulkaprodersdorf	1496	1171	1138	454	302	129	26	117	60	27	9	12	2	0	0	0	0	spoe
G10320	Loretto	384	283	275	84	87	58	5	19	18	4	0	0	0	0	0	0	0	oevp
G10321	Stotzing	650	452	440	162	141	72	14	16	20	10	2	2	1	0	0	0	0	spoe
G10322	Zillingtal	745	553	540	196	126	80	11	59	35	26	5	2	0	0	0	0	0	spoe
G10323	Zagersdorf	794	619	604	259	171	72	13	42	32	8	3	2	2	0	0	0	0	spoe
G10401	Bocksdorf	676	537	524	218	120	92	11	17	55	9	1	1	0	0	0	0	0	spoe
G10402	Burgauberg-Neudauberg	1113	848	825	258	267	136	15	39	76	20	8	6	0	0	0	0	0	oevp
