GKZ,Name,Wahlberechtigte,abgegeben,gueltig,ungueltig,spoe,oevp,fpoe,gruene,neos,kpoe,cpoe,pilz,schnell,gilt
G00000,Österreich,6566736,4964838,4875335,89503,1336059,1296502,1149481,534887,256117,48390,5982,201718,41199,5000
G10101,Eisenstadt,9902,7668,7474,194,1933,2812,1150,779,388,29,54,156,96,60
G10201,Rust,1501,1272,1237,35,513,314,241,48,72,7,6,21,14,1
G10301,Breitenbrunn,1510,1254,1217,37,487,320,182,113,66,4,4,15,20,4
G10302,Donnerskirchen,1426,1208,1188,20,447,355,214,61,82,6,9,7,6,1
G10303,Großhöflein,1536,1282,1233,49,491,363,183,59,68,5,3,15,41,4
G10304,Hornstein,2149,1729,1692,37,761,296,316,120,100,16,9,31,30,12
G10305,Klingenbach,911,765,755,10,424,185,80,12,23,2,12,3,8,6
G10306,Leithaprodersdorf,926,804,778,26,201,395,91,46,23,3,2,3,7,7
G10307,Mörbisch am See,1928,1529,1485,44,666,319,305,62,67,2,6,13,35,10
G10308,Müllendorf,1062,861,843,18,367,201,156,55,32,2,2,15,8,1
G10309,Neufeld an der Leitha,2431,1900,1872,28,913,244,409,127,119,8,4,28,8,8
G10310,Oggau am Neusiedler See,1523,1328,1279,49,538,396,195,52,64,4,6,7,13,4
G10311,Oslip,1058,874,851,23,397,274,89,45,20,4,2,8,4,8
G10312,Purbach am Neusiedler See,2200,1812,1761,51,662,578,272,102,94,9,3,16,10,14
G10313,Sankt Margarethen im Burgenland,2284,1863,1799,64,620,650,276,86,101,12,7,14,19,14
G10314,Schützen am Gebirge,1137,974,950,24,322,350,141,52,57,6,7,4,9,1
G10315,Siegendorf,2182,1806,1773,33,1084,245,190,115,74,12,7,22,17,7
G10316,Steinbrunn,1728,1420,1394,26,665,237,263,92,77,10,3,19,12,14
G10317,Trausdorf an der Wulka,1533,1265,1229,36,553,307,187,64,72,6,4,19,9,7
G10318,Wimpassing an der Leitha,970,744,729,15,210,183,206,53,51,7,3,9,4,3
G10319,Wulkaprodersdorf,1475,1270,1234,36,530,329,133,143,47,4,9,12,15,11
G10320,Loretto,359,294,288,6,93,105,58,10,11,2,1,3,3,2
G10321,Stotzing,670,568,555,13,233,200,62,15,23,2,1,9,5,5
G10322,Zillingtal,661,560,550,10,253,130,76,35,30,4,1,9,9,2
G10323,Zagersdorf,787,649,627,22,292,195,60,33,33,5,3,6,0,0
G10401,Bocksdorf,673,581,565,16,280,134,69,18,52,1,0,1,6,3
G10402,Burgauberg-Neudauberg,1148,924,893,31,277,375,122,32,62,6,2,3,10,4
G10403,Eberau,810,633,617,16,152,331,78,21,20,0,1,4,8,2
G10404,Gerersdorf-Sulz,895,726,711,15,246,316,77,36,23,3,0,8,2,0
G10405,Güssing,3128,2380,2308,72,749,887,328,146,126,10,11,28,12,11
G10406,Güttenbach,811,685,658,27,228,247,81,37,35,3,4,9,9,5
G10407,Heiligenbrunn,747,629,605,24,165,294,89,15,32,1,1,2,3,3
G10408,Kukmirn,1689,1376,1347,29,469,484,203,57,94,6,2,10,7,15
G10409,Neuberg im Burgenland,861,690,669,21,295,176,110,26,44,1,8,1,3,5
G10410,Neustift bei Güssing,455,368,364,4,198,49,79,18,15,0,0,1,3,1
G10411,Olbendorf,1204,978,953,25,533,123,149,32,85,1,5,6,6,10
G10412,Ollersdorf im Burgenland,822,706,694,12,268,252,94,24,38,3,4,3,6,2
G10413,Sankt Michael im Burgenland,877,725,711,14,252,240,125,31,48,2,1,10,2,0
G10414,Stegersbach,1964,1504,1463,41,637,403,221,62,97,6,7,13,12,4
G10415,Stinatz,1029,871,854,17,486,198,74,47,31,5,0,3,8,2
G10416,Strem,791,643,631,12,134,331,94,21,36,2,1,4,7,1
G10417,Tobaj,1178,936,901,35,228,385,176,34,60,1,0,4,7,6
G10418,Hackerberg,306,263,253,10,87,112,36,7,6,1,0,2,1,1
G10419,Wörterberg,402,331,324,7,122,89,57,30,16,3,0,6,0,1
G10420,Großmürbisch,235,195,192,3,77,79,12,9,5,1,3,4,2,0
G10421,Inzenhof,268,223,219,4,129,38,34,4,9,1,0,1,3,0
G10422,Kleinmürbisch,210,189,185,4,73,65,35,2,8,0,0,0,1,1
G10423,Tschanigraben,54,48,48,0,33,5,9,0,0,0,0,0,0,1
G10424,Heugraben,209,177,172,5,61,64,32,4,9,0,1,1,0,0
G10425,Rohr im Burgenland,340,292,282,10,105,91,50,7,17,8,1,2,1,0
G10426,Bildein,285,259,247,12,37,147,29,9,15,1,3,2,3,1
G10427,Rauchwart,398,334,327,7,163,74,65,7,16,2,0,0,0,0
G10428,Moschendorf,360,331,321,10,85,183,31,7,14,0,0,0,1,0
