id,gemeinde_name,gemeinde_kennzahl,gemeinde_code,eligible_voters,votes,valid,invalid,ts,spoe_nrw13,oevp_nrw13,fpoe_nrw13,gruene_nrw13,bzoe_nrw13,neos_nrw13,stronach_nrw13,wandel_nrw13,pirat_nrw13,kpoe_nrw13,slp_nrw13,euaus_nrw13,cpoe_nrw13
1,Pamhagen,10716,10716,None,1069,1042,27,2013-09-28 22:00:00+00:00,365,408,163,22,19,19,34,None,5,2,None,None,None
2,Luftenberg an der Donau,41110,41110,None,2355,2313,42,2013-09-28 22:00:00+00:00,917,370,484,242,75,66,108,None,21,19,None,None,None
3,Hofamt Priel,31511,31511,None,1075,1046,29,2013-09-28 22:00:00+00:00,312,394,162,86,25,23,37,None,5,2,None,None,None
4,Sibratsgfäll,80237,80237,None,235,229,6,2013-09-28 22:00:00+00:00,6,160,27,12,2,10,6,None,2,0,None,None,None
5,Unterach am Attersee,41745,41745,None,731,721,10,2013-09-28 22:00:00+00:00,203,227,115,78,26,34,31,None,4,1,None,None,None
6,Wolfsberg,20923,20923,None,13570,13293,277,2013-09-28 22:00:00+00:00,4820,1700,2896,1082,1372,342,929,None,89,63,None,None,None
7,Raasdorf,30849,30849,None,308,307,1,2013-09-28 22:00:00+00:00,94,121,51,12,3,9,10,None,3,4,None,None,None
8,Losenstein,41509,41509,None,933,918,15,2013-09-28 22:00:00+00:00,293,231,186,80,39,36,43,None,4,6,None,None,None
9,Taufkirchen an der Pram,41426,41426,None,1602,1542,60,2013-09-28 22:00:00+00:00,404,440,409,106,46,19,89,None,19,2,None,None,None
10,Reichersberg,41224,41224,None,791,769,22,2013-09-28 22:00:00+00:00,131,250,220,56,42,30,28,None,3,4,None,None,None
11,Oetz,70214,70214,None,1059,1037,22,2013-09-28 22:00:00+00:00,146,418,181,121,35,59,65,None,8,4,None,None,None
12,Schalchen,40441,40441,None,1869,1825,44,2013-09-28 22:00:00+00:00,523,402,499,175,70,37,96,None,11,8,None,None,None
13,Kukmirn,10408,10408,None,1232,1202,30,2013-09-28 22:00:00+00:00,375,342,195,62,40,34,143,None,4,6,None,None,None
14,Andelsbuch,80202,80202,None,1078,1057,21,2013-09-28 22:00:00+00:00,56,514,136,177,17,106,40,None,3,1,None,None,None
15,Wartberg ob der Aist,40624,40624,None,2557,2481,76,2013-09-28 22:00:00+00:00,805,521,484,325,120,74,106,None,18,18,None,None,None
16,Zillingdorf,32338,32338,None,1227,1201,26,2013-09-28 22:00:00+00:00,456,237,290,85,33,32,55,None,8,5,None,None,None
17,Ludweis-Aigen,32212,32212,None,579,557,22,2013-09-28 22:00:00+00:00,112,303,69,36,5,10,13,None,7,2,None,None,None
18,Traismauer,31943,31943,None,3383,3288,95,2013-09-28 22:00:00+00:00,1229,745,664,292,63,120,136,None,19,20,None,None,None
19,Finkenberg,70908,70908,None,693,680,13,2013-09-28 22:00:00+00:00,116,290,119,63,20,15,53,None,3,1,None,None,None
20,Bruck an der Leitha,30704,30704,None,4114,4022,92,2013-09-28 22:00:00+00:00,1469,806,850,385,85,174,197,None,25,31,None,None,None
21,Höchst,80217,80217,None,2883,2851,32,2013-09-28 22:00:00+00:00,297,792,651,440,81,332,201,None,20,9,None,None,None
22,Fels am Wagram,32106,32106,None,1282,1254,28,2013-09-28 22:00:00+00:00,377,388,266,76,38,44,56,None,4,5,None,None,None
23,Perchtoldsdorf,31719,31719,None,8121,7973,148,2013-09-28 22:00:00+00:00,1440,2430,1140,1209,240,1008,366,None,73,67,None,None,None
24,Grein,41105,41105,None,1681,1625,56,2013-09-28 22:00:00+00:00,533,452,320,152,44,35,68,None,8,3,None,None,None
25,Roßleithen,40915,40915,None,1074,1055,19,2013-09-28 22:00:00+00:00,314,284,228,69,37,32,71,None,4,2,None,None,None
26,Liebenau,40611,40611,None,1044,1012,32,2013-09-28 22:00:00+00:00,269,426,171,38,26,17,39,None,8,10,None,None,None
27,Kaunertal,70611,70611,None,309,301,8,2013-09-28 22:00:00+00:00,29,194,23,31,5,9,7,None,3,0,None,None,None
28,Waidhofen an der Thaya-Land,32221,32221,None,737,720,17,2013-09-28 22:00:00+00:00,108,338,141,49,25,19,36,None,3,1,None,None,None
29,St. Jakob im Rosental,20722,20722,None,2352,2305,47,2013-09-28 22:00:00+00:00,1032,205,342,275,184,62,170,None,19,16,None,None,None
30,Stronsdorf,31650,31650,None,1105,1079,26,2013-09-28 22:00:00+00:00,154,554,229,41,18,31,41,None,9,2,None,None,None
31,Sankt Oswald bei Plankenwarth,60641,60641,None,683,675,8,2013-09-28 22:00:00+00:00,210,123,156,63,15,29,67,None,2,10,None,None,None
32,Pfaffenhofen,70340,70340,None,463,458,5,2013-09-28 22:00:00+00:00,117,117,72,85,10,22,27,None,2,6,None,None,None
33,Göriach,50501,50501,None,231,229,2,2013-09-28 22:00:00+00:00,51,103,46,14,4,5,6,None,0,0,None,None,None
34,Wien,90001,91401,None,35581,35025,556,2013-09-28 22:00:00+00:00,10188,5657,7260,5550,974,2914,1458,None,365,562,None,None,None
35,Schruns,80122,80122,None,1527,1509,18,2013-09-28 22:00:00+00:00,193,401,365,219,50,173,80,None,6,5,None,None,None
36,Krummnußbaum,31517,31517,None,850,830,20,2013-09-28 22:00:00+00:00,303,245,126,65,26,14,42,None,5,4,None,None,None
37,Kreuzstetten,31628,31628,None,929,906,23,2013-09-28 22:00:00+00:00,234,277,176,103,17,31,55,None,9,4,None,None,None
38,Grins,70607,70607,None,744,733,11,2013-09-28 22:00:00+00:00,148,310,130,62,21,28,28,None,4,2,None,None,None
39,Bezau,80204,80204,None,823,813,10,2013-09-28 22:00:00+00:00,35,398,129,96,18,98,22,None,3,2,None,None,None
40,Bichlbach,70804,70804,None,360,356,4,2013-09-28 22:00:00+00:00,45,169,62,32,4,20,21,None,2,1,None,None,None
41,Westendorf,70420,70420,None,1684,1657,27,2013-09-28 22:00:00+00:00,287,716,276,177,39,53,99,None,9,1,None,None,None
42,Ellmau,70509,70509,None,1148,1134,14,2013-09-28 22:00:00+00:00,118,461,260,119,48,30,87,None,7,4,None,None,None
43,Großpetersdorf,10905,10905,None,2084,2045,39,2013-09-28 22:00:00+00:00,869,497,330,117,49,35,121,None,5,12,None,None,None
44,Kolsassberg,70323,70323,None,391,388,3,2013-09-28 22:00:00+00:00,63,167,72,39,7,16,22,None,1,1,None,None,None
45,Flachau,50408,50408,None,1532,1519,13,2013-09-28 22:00:00+00:00,220,605,354,126,58,47,99,None,8,2,None,None,None
46,Laussa,41508,41508,None,801,770,31,2013-09-28 22:00:00+00:00,176,216,154,61,67,29,53,None,4,5,None,None,None
