gkz	urbanisierung
10101	2
10201	3
10301	3
10302	3
10303	2
10304	3
10305	3
10306	3
10307	3
10308	2
10309	2
10310	3
10311	3
10312	3
10313	3
10314	3
10315	3
10316	3
10317	3
10318	3
10319	3
10320	3
10321	3
10322	3
10323	3
10401	3
10402	3
10403	3
10404	3
10405	3
10406	3
10407	3
10408	3
10409	3
10410	3
10411	3
10412	3
10413	3
10414	3
10415	3
10416	3
10417	3
10418	3
10419	3
10420	3
10421	3
10422	3
10423	3
10424	3
10425	3
10426	3
10427	3
10428	3
10501	3
10502	3
10503	3
10504	3
10505	3
10506	3
10507	3
10508	3
10509	3
10510	3
10511	3
10512	3
10601	3
10602	3
10603	3
10604	3
10605	2
10606	2
10607	2
10608	2
10609	3
10610	2
10611	3
10612	3
10613	3
10614	3
10615	3
10616	2
10617	3
10618	2
10619	3
10701	3
10702	3
10703	3
10704	3
10705	3
10706	3
10707	3
10708	3
10709	3
10710	3
10711	3
10712	3
10713	2
10714	3
10715	3
10716	3
10717	3
10718	3
10719	3
10720	3
10721	3
10722	3
10723	3
10724	3
10725	3
10726	3
10727	3
10801	3
10802	3
10803	3
10804	3
10805	3
10806	3
10807	3
10808	3
10809	3
10810	3
10811	3
10812	3
10813	3
10814	3
10815	3
10816	3
10817	3
10818	3
10819	3
10820	3
10821	3
10822	3
10823	3
10824	3
10825	3
10826	3
10827	3
10828	3
10901	3
10902	3
10903	3
10904	3
10905	3
10906	3
10907	3
10908	3
10909	3
10910	3
10911	3
10912	3
10913	3
10914	3
10915	3
10916	3
10917	2
10918	2
10919	3
10920	2
10921	3
10922	3
10923	3
10924	3
10925	3
10926	3
10927	3
10928	3
10929	3
10930	3
10931	3
10932	3
20101	1
20201	2
20302	3
20305	3
20306	3
20307	3
20316	3
20320	3
20321	3
20402	3
20403	3
20405	3
20409	3
20412	3
20414	3
20415	3
20416	3
20417	3
20418	3
20419	3
20421	3
20424	3
20425	3
20428	3
20432	3
20435	3
20441	3
20442	3
20501	3
20502	3
20503	3
20504	3
20505	3
20506	3
20508	3
20509	3
20511	3
20512	3
20513	3
20515	3
20518	3
20519	3
20520	3
20523	3
20527	2
20530	3
20531	3
20534	3
20601	3
20602	3
20603	3
20604	3
20605	3
20607	3
20608	3
20609	3
20610	3
20611	3
20613	3
20616	3
20618	3
20619	3
20620	3
20622	3
20624	3
20625	3
20627	3
20630	3
20631	3
20632	3
20633	3
20634	2
20635	2
20636	3
20637	3
20638	3
20639	3
20640	3
20642	3
20643	3
20644	3
20701	3
20702	3
20703	3
20705	3
20707	3
20708	3
20710	3
20711	3
20712	3
20713	3
20719	3
20720	3
20721	3
20722	3
20723	3
20724	3
20725	3
20726	3
20727	2
20801	3
20802	3
20803	3
20804	3
20805	3
20806	3
20807	3
20808	3
20810	3
20812	3
20813	3
20815	3
20817	3
20901	3
20905	3
20909	3
20911	3
20912	3
20913	3
20914	3
20918	3
20923	2
21001	3
21002	2
21003	3
21004	3
21005	3
21006	3
21007	3
21008	3
21009	3
21010	3
30101	2
30201	2
30301	2
30401	2
30501	3
30502	2
30503	3
30504	3
30506	3
30507	3
30508	2
30509	3
30510	3
30511	3
30512	3
30514	3
